stage,year,employment_qcew_raw,employment_coreauto,naics_count,share_min,share_max,share_weighted
Downstream,2001,219668.1764984131,191105.44649841308,11,0.21,1.0,0.8699732912827892
Downstream,2002,216974.7277730306,188971.9077730306,11,0.21,1.0,0.8709397159410531
Downstream,2003,211645.9299837748,184271.49998377482,11,0.21,1.0,0.8706593129284435
Downstream,2004,210432.40278879803,182221.07278879802,11,0.21,1.0,0.865936378494359
Downstream,2005,208775.06699625653,179507.84699625653,11,0.21,1.0,0.8598145821669175
Downstream,2006,206478.07436879477,176129.05436879475,11,0.21,1.0,0.8530157737436421
Downstream,2007,204309.68500010174,172390.66500010173,11,0.21,1.0,0.843771380686216
Downstream,2008,198611.59295272827,168120.42295272826,11,0.21,1.0,0.8464783976267828
Downstream,2009,179646.23037465411,153130.41037465414,11,0.21,1.0,0.8523997973979139
Downstream,2010,180735.81250254312,153943.96250254312,11,0.21,1.0,0.8517623617089003
Downstream,2011,187714.61084620157,159061.61084620157,11,0.21,1.0,0.8473587118720557
Downstream,2012,194269.29066594443,164152.76066594443,11,0.21,1.0,0.8449753437778962
Downstream,2013,200397.9054781596,168523.8554781596,11,0.21,1.0,0.8409461919078101
Downstream,2014,210050.88727823892,176073.6872782389,11,0.21,1.0,0.8382430065387302
Downstream,2015,217547.71697362262,181612.77697362265,11,0.21,1.0,0.8348181240423818
Downstream,2016,220883.18589528403,184188.45589528402,11,0.21,1.0,0.8338726877228392
Downstream,2017,222321.9301846822,185765.3101846822,11,0.21,1.0,0.8355689878653333
Downstream,2018,226562.07780456543,189395.94780456543,11,0.21,1.0,0.8359560860310442
Downstream,2019,229051.66566467285,191198.47566467285,11,0.21,1.0,0.8347395121962731
Downstream,2020,210261.23542785645,175229.51542785644,11,0.21,1.0,0.8333895454922319
Downstream,2021,218514.6236228943,181924.6536228943,11,0.21,1.0,0.8325513899557321
Downstream,2022,227476.0,188989.83,11,0.21,1.0,0.8308121735919393
Downstream,2023,232636.0,194273.65,11,0.21,1.0,0.8350971044894169
Downstream,2024,231829.0,195139.18,11,0.21,1.0,0.8417375738151827
OEM,2001,406790.0,308828.57,6,0.01,1.0,0.7591842719830871
OEM,2002,385430.0,287397.7,6,0.01,1.0,0.745654723296059
OEM,2003,361927.0,265984.81,6,0.01,1.0,0.7349128691697497
OEM,2004,347949.0,253579.61,6,0.01,1.0,0.7287838447588583
OEM,2005,330040.0,236034.89,6,0.01,1.0,0.7151705550842322
OEM,2006,309403.0,217710.18,6,0.01,1.0,0.7036459892114815
OEM,2007,291288.0,201840.0,6,0.01,1.0,0.6929224684847985
OEM,2008,255873.0,170625.89,6,0.01,1.0,0.6668381970743299
OEM,2009,200373.0,125755.39,6,0.01,1.0,0.6276064639447431
OEM,2010,206713.0,129310.44,6,0.01,1.0,0.6255554319273582
OEM,2011,224261.0,141228.14,6,0.01,1.0,0.629748997819505
OEM,2012,243548.0,154028.39,6,0.01,1.0,0.6324354542020465
OEM,2013,259419.0,164675.46,6,0.01,1.0,0.634785655638176
OEM,2014,273287.0,174632.2,6,0.01,1.0,0.6390066120964408
OEM,2015,284225.0,171549.55,6,0.01,1.0,0.6035695311812824
OEM,2016,295186.0,178408.82,6,0.01,1.0,0.6043945851090499
OEM,2017,294432.0,185527.41,6,0.01,1.0,0.6301197220410825
OEM,2018,299693.0,187969.14,6,0.01,1.0,0.6272056404387156
OEM,2019,299164.0,185853.66999999998,6,0.01,1.0,0.621243431696327
OEM,2020,270130.0,159590.27000000002,6,0.01,1.0,0.5907906193314331
OEM,2021,294352.0,179897.87,6,0.01,1.0,0.611165781105615
OEM,2022,299542.0,182252.91999999998,6,0.01,1.0,0.6084386162875323
OEM,2023,302226.0,184258.79,6,0.01,1.0,0.6096721989504543
OEM,2024,293289.0,178080.47,6,0.01,1.0,0.6071842789876197
Upstream,2001,259100.0,101204.05,21,0.08,0.85,0.39059841759938246
Upstream,2002,238374.0,93718.87,21,0.08,0.85,0.3931589435089397
Upstream,2003,230883.0,90765.95,21,0.08,0.85,0.3931253058908625
Upstream,2004,230022.0,90949.04,21,0.08,0.85,0.39539278851588106
Upstream,2005,232073.0,90714.65,21,0.08,0.85,0.39088842734829127
Upstream,2006,226718.0,88238.11,21,0.08,0.85,0.389197637593839
Upstream,2007,217064.0,84293.16,21,0.08,0.85,0.3883332104817013
Upstream,2008,207466.0,80458.02,21,0.08,0.85,0.3878130392449847
Upstream,2009,163364.0,62587.37,21,0.08,0.85,0.3831160475992263
Upstream,2010,171977.0,66263.75,21,0.08,0.85,0.38530588392633897
Upstream,2011,190260.0,73961.21,21,0.08,0.85,0.3887375696415432
Upstream,2012,201476.0,77967.82,21,0.08,0.85,0.3869831642478509
Upstream,2013,205887.0,79599.67,21,0.08,0.85,0.3866182420453938
Upstream,2014,213904.0,82926.78,21,0.08,0.85,0.38768223128132245
Upstream,2015,220278.0,85340.12,21,0.08,0.85,0.3874200782647382
Upstream,2016,221825.0,85692.98,21,0.08,0.85,0.3863089372252902
Upstream,2017,224348.0,86515.83,21,0.08,0.85,0.385632276641646
Upstream,2018,229519.0,88523.09,21,0.08,0.85,0.38568959432552424
Upstream,2019,227192.0,87573.13,21,0.08,0.85,0.385458686925596
Upstream,2020,197715.0,75936.48,21,0.08,0.85,0.3840704043699264
Upstream,2021,201624.0,77664.83,21,0.08,0.85,0.3851963555925882
Upstream,2022,205458.0,79474.6,21,0.08,0.85,0.3868167703374899
Upstream,2023,209044.0,81282.5,21,0.08,0.85,0.3888296243852969
Upstream,2024,205217.0,79562.27,21,0.08,0.85,0.38769824137376535
